id,left,top,right,bottom,GridArea,SlumArea,NUMHospita,RoadArea,PopDensmea,NDVImean,PercBuiltU,Imperperc,NTLmean
120,8111383.973480461165309,2178548.496106089558452,8113383.973480461165309,2176548.496106089558452,3548985.020560221746564,832469.660,12.000000000000000,213995.986,341.023163846379077,0.217192563029361,22.191,20.360,15.4520815012796
121,8111383.973480461165309,2176548.496106089558452,8113383.973480461165309,2174548.496106089558452,3549707.711367646697909,604813.700,7.000000000000000,355590.172,372.428659433973394,0.181823189494589,33.642,25.984,21.4707855851438
123,8111383.973480461165309,2172548.496106089558452,8113383.973480461165309,2170548.496106089558452,3551151.682328384369612,91535.115,5.000000000000000,130572.030,274.288393764172554,0.281969639107992,11.255,5.997,14.1538796133314
124,8111383.973480461165309,2170548.496106089558452,8113383.973480461165309,2168548.496106089558452,3551872.961539764888585,255449.913,9.000000000000000,330495.823,348.681418544841279,0.170335826571516,51.363,35.325,28.81819310542
125,8111383.973480461165309,2168548.496106089558452,8113383.973480461165309,2166548.496106089558452,3552593.769282676279545,400973.213,19.000000000000000,355414.426,363.480719757080067,0.138829594532035,53.085,60.124,48.3639533538102
126,8111383.973480461165309,2166548.496106089558452,8113383.973480461165309,2164548.496106089558452,3553314.105089437682182,249035.948,21.000000000000000,157929.948,325.356074682727638,0.097115464870082,70.838,72.241,40.7039517878143
127,8111383.973480461165309,2164548.496106089558452,8113383.973480461165309,2162548.496106089558452,3554033.968484702520072,21469.782,19.000000000000000,341380.362,368.916235435942895,0.102210276858930,61.516,71.614,33.2341054956345
128,8111383.973480461165309,2162548.496106089558452,8113383.973480461165309,2160548.496106089558452,3554753.359006267040968,7741.961,22.000000000000000,291618.291,409.001698569067912,0.138423219006238,43.235,38.138,33.1635628606232
129,8111383.973480461165309,2160548.496106089558452,8113383.973480461165309,2158548.496106089558452,3555472.276182070374489,283711.278,11.000000000000000,257850.284,401.938700736481962,0.143742007454082,49.972,50.542,34.6523456928092
130,8111383.973480461165309,2158548.496106089558452,8113383.973480461165309,2156548.496106089558452,3556190.719547718763351,533687.294,2.000000000000000,247526.181,363.395268806694219,0.159050995541017,32.848,25.958,25.9805707532139
139,8113383.973480461165309,2186548.496106089558452,8115383.973480461165309,2184548.496106089558452,3546089.566097727045417,88649.314,0.000000000000000,54914.061,75.267749023437503,0.262157205814991,3.315,1.860,6.1794541065234
145,8113383.973480461165309,2174548.496106089558452,8115383.973480461165309,2172548.496106089558452,3550429.932115118019283,47353.326,0.000000000000000,173569.040,192.355833376370953,0.275063440693404,13.348,2.278,11.1616352450232
146,8113383.973480461165309,2172548.496106089558452,8115383.973480461165309,2170548.496106089558452,3551151.682331670075655,178615.941,0.000000000000000,130528.316,206.680804070006019,0.255786271605793,8.262,1.627,9.38393934322539
147,8113383.973480461165309,2170548.496106089558452,8115383.973480461165309,2168548.496106089558452,3551872.961541955824941,221457.198,4.000000000000000,213484.021,319.441753000452877,0.181682868091998,24.802,24.532,25.0176097429302
148,8113383.973480461165309,2168548.496106089558452,8115383.973480461165309,2166548.496106089558452,3552593.769284866750240,449902.104,21.000000000000000,375545.900,377.575529885948242,0.128676706348625,55.955,62.283,27.4175846153582
149,8113383.973480461165309,2166548.496106089558452,8115383.973480461165309,2164548.496106089558452,3553314.105092723388225,1267216.129,51.000000000000000,323692.154,400.450011348311534,0.136262331415358,64.598,67.177,25.2366908514891
150,8113383.973480461165309,2164548.496106089558452,8115383.973480461165309,2162548.496106089558452,3554033.968486892990768,135889.279,55.000000000000000,351659.681,404.732753675456479,0.149192670439129,47.916,38.421,31.6005130644299
151,8113383.973480461165309,2162548.496106089558452,8115383.973480461165309,2160548.496106089558452,3554753.359008457511663,398499.687,48.000000000000000,341407.649,444.417636550475493,0.148444736484922,43.366,39.029,31.1505536375807
152,8113383.973480461165309,2160548.496106089558452,8115383.973480461165309,2158548.496106089558452,3555472.276185356546193,204393.129,21.000000000000000,294815.780,429.358263556511872,0.185475268760816,41.104,29.587,33.8103093801866
153,8113383.973480461165309,2158548.496106089558452,8115383.973480461165309,2156548.496106089558452,3556190.719549909234047,20438.803,1.000000000000000,184325.719,393.899332245651919,0.147269706013947,53.608,44.987,72.7773248656367
154,8113383.973480461165309,2156548.496106089558452,8115383.973480461165309,2154548.496106089558452,3556908.688633340876549,38004.164,0.000000000000000,138162.329,286.703794357849290,0.137436921632432,27.335,23.590,41.3560137549029
169,8115383.973480461165309,2172548.496106089558452,8117383.973480461165309,2170548.496106089558452,3551151.682331670075655,56566.112,4.000000000000000,111499.869,192.893151381920120,0.167004290754698,7.055,1.101,8.7044149159931
171,8115383.973480461165309,2168548.496106089558452,8117383.973480461165309,2166548.496106089558452,3552593.769284866750240,802823.979,11.000000000000000,261624.035,388.216476861943192,0.173901810059820,39.352,30.172,21.6462352362261
172,8115383.973480461165309,2166548.496106089558452,8117383.973480461165309,2164548.496106089558452,3553314.105092723388225,455272.599,34.000000000000000,396810.658,441.490556612881733,0.149876620685376,46.998,44.899,27.9714069502566
173,8115383.973480461165309,2164548.496106089558452,8117383.973480461165309,2162548.496106089558452,3554033.968486892990768,622728.784,48.000000000000000,366425.600,425.530030245986268,0.157614855781831,41.490,39.238,26.1858804205032
174,8115383.973480461165309,2162548.496106089558452,8117383.973480461165309,2160548.496106089558452,3554753.359008457511663,719162.063,36.000000000000000,371837.163,440.536693372224534,0.135149219453136,48.386,44.225,27.884282389896
175,8115383.973480461165309,2160548.496106089558452,8117383.973480461165309,2158548.496106089558452,3555472.276185356546193,155507.401,13.000000000000000,254781.744,351.443702512798893,0.221455441355575,26.817,12.294,26.8761672443515
176,8115383.973480461165309,2158548.496106089558452,8117383.973480461165309,2156548.496106089558452,3556190.719549909234047,173050.193,1.000000000000000,104468.066,251.067098222540693,0.237591407494619,22.253,16.608,74.9466873269238
191,8117383.973480461165309,2174548.496106089558452,8119383.973480461165309,2172548.496106089558452,3550429.932115118019283,1072592.275,19.000000000000000,276317.877,317.957695608428025,0.172847575186323,45.384,23.762,15.1551728570783
192,8117383.973480461165309,2172548.496106089558452,8119383.973480461165309,2170548.496106089558452,3551151.682331670075655,798257.845,19.000000000000000,260942.094,376.720475217129319,0.174195636890450,42.266,21.569,17.5241116477716
193,8117383.973480461165309,2170548.496106089558452,8119383.973480461165309,2168548.496106089558452,3551872.961541955824941,521846.373,11.000000000000000,281608.710,400.606043176743583,0.177447498710016,40.416,31.907,22.1418623305293
194,8117383.973480461165309,2168548.496106089558452,8119383.973480461165309,2166548.496106089558452,3552593.769284866750240,73570.384,9.000000000000000,253400.776,399.619171817745780,0.192774299333931,30.547,16.410,18.8010131782754
196,8117383.973480461165309,2164548.496106089558452,8119383.973480461165309,2162548.496106089558452,3554033.968486892990768,546783.040,8.000000000000000,95015.890,316.357309119978197,0.177725380470871,14.000,27.746,12.5865820563438
197,8117383.973480461165309,2162548.496106089558452,8119383.973480461165309,2160548.496106089558452,3554753.359008457511663,1276280.595,7.000000000000000,326952.732,401.995477488343170,0.122371671033593,52.131,65.857,25.8688510351867
198,8117383.973480461165309,2160548.496106089558452,8119383.973480461165309,2158548.496106089558452,3555472.276185356546193,47102.447,0.000000000000000,227010.134,291.930486005895261,0.226116779191046,29.237,2.487,22.5536613237463
211,8119383.973480461165309,2180548.496106089558452,8121383.973480461165309,2178548.496106089558452,3548261.860159427858889,608744.272,9.000000000000000,201291.126,225.449191189268561,0.227880121547477,21.190,14.558,17.3062379659733
212,8119383.973480461165309,2178548.496106089558452,8121383.973480461165309,2176548.496106089558452,3548985.020560221746564,205692.565,20.000000000000000,278665.630,314.043130362374427,0.197076760755363,38.802,21.751,21.967870888483
213,8119383.973480461165309,2176548.496106089558452,8121383.973480461165309,2174548.496106089558452,3549707.711367646697909,88499.783,26.000000000000000,344635.310,387.608650242516774,0.169885684424996,40.416,18.431,22.1884345478183
214,8119383.973480461165309,2174548.496106089558452,8121383.973480461165309,2172548.496106089558452,3550429.932112927548587,211275.961,22.000000000000000,263428.201,404.515341050554014,0.169959367888399,43.750,24.979,20.3940201659941
215,8119383.973480461165309,2172548.496106089558452,8121383.973480461165309,2170548.496106089558452,3551151.682328384369612,273375.655,16.000000000000000,126065.937,299.662098531757977,0.194634320671368,13.580,6.426,10.3151241257985
216,8119383.973480461165309,2170548.496106089558452,8121383.973480461165309,2168548.496106089558452,3551872.961539764888585,116010.286,7.000000000000000,105854.628,260.368201322333732,0.155395931492399,10.576,8.743,10.8642823187958
220,8119383.973480461165309,2162548.496106089558452,8121383.973480461165309,2160548.496106089558452,3554753.359006267040968,195757.789,0.000000000000000,68355.286,256.898336448822647,0.115473186324564,10.736,10.574,12.2365467740448
221,8119383.973480461165309,2160548.496106089558452,8121383.973480461165309,2158548.496106089558452,3555472.276182070374489,405065.716,1.000000000000000,130219.524,213.101489646762019,0.169879246566287,15.991,17.397,11.4969355027105
235,8121383.973480461165309,2178548.496106089558452,8123383.973480461165309,2176548.496106089558452,3548985.020563507452607,145815.357,55.000000000000000,344503.015,309.477563871247128,0.149093116149327,36.201,26.807,30.2993199949719
236,8121383.973480461165309,2176548.496106089558452,8123383.973480461165309,2174548.496106089558452,3549707.711369837168604,132889.174,33.000000000000000,320823.836,392.107312793022174,0.171494523497841,34.770,19.239,24.0292883005277
